Date,Open,High,Low,Close,Adj Close,Volume
21/09/2020,71.290001,71.980003,69.309998,70.339996,70.339996,1231400
28/09/2020,70.779999,72,68.709999,69.459999,69.459999,1328300
5/10/2020,67.019997,69.660004,67.019997,68.779999,68.779999,1411500
12/10/2020,70.769997,70.980003,68.699997,68.849998,68.849998,1377600
19/10/2020,68.870003,69.449997,65.400002,65.599998,65.599998,1157400
26/10/2020,65.5,69.699997,65,67.730003,67.730003,1539000
2/11/2020,68.379997,73.75,68.019997,70.660004,70.660004,2954700
9/11/2020,67.5,67.5,61.610001,65.529999,65.529999,5702500
16/11/2020,63.98,67.059998,62.700001,66.32,66.32,5388100
23/11/2020,67,70.5,65.610001,70,70,2552400
30/11/2020,72.660004,72.660004,67.059998,68.400002,68.400002,2200100
7/12/2020,70.239998,72.910004,68.139999,72.790001,72.790001,1630400
14/12/2020,75.699997,82.550003,74.080002,80.839996,80.839996,2190000
21/12/2020,77.309998,79.160004,77.010002,78.580002,78.580002,1262500
28/12/2020,79.5,82.370003,78.809998,80.519997,80.519997,1723200
4/01/2021,79.800003,80.879997,78,80.050003,80.050003,2309100
11/01/2021,78.580002,80.489998,78.510002,78.75,78.75,1641800
18/01/2021,79.779999,79.779999,75.779999,77.489998,77.489998,1915900
25/01/2021,76.239998,76.269997,72,72.269997,72.269997,3177100
1/02/2021,76.050003,78.169998,72.709999,75.209999,75.209999,3982300
8/02/2021,76,79.669998,73.870003,79.610001,79.610001,2262700
15/02/2021,81.410004,82,79.959999,81.370003,81.370003,2000800
22/02/2021,80.550003,80.879997,75,77.120003,77.120003,2619500
1/03/2021,76.870003,77.389999,69.309998,71.830002,71.830002,3364500
8/03/2021,69.050003,70.68,68.129997,69.199997,69.199997,3718900
15/03/2021,70.690002,73.900002,70.5,72.080002,72.080002,2506600
22/03/2021,73.440002,74.290001,70.599998,73.120003,73.120003,2137600
29/03/2021,73,73.120003,70.029999,71.82,71.82,1532500
5/04/2021,72.330002,74.949997,71.139999,74,74,1248800
12/04/2021,72.510002,76.010002,72.510002,74.849998,74.849998,1300600
19/04/2021,73.260002,74.470001,71.550003,72.449997,72.449997,1924600
26/04/2021,70.620003,73.160004,70.010002,71.889999,71.889999,2203000
3/05/2021,72.32,72.949997,68.080002,68.989998,68.989998,3276200
10/05/2021,71.010002,71.760002,67.860001,70.529999,70.529999,4612600
17/05/2021,71.019997,74.050003,70.300003,73.370003,73.370003,2966700
24/05/2021,74.589996,77.949997,74.410004,77.32,77.32,1560000
31/05/2021,75.900002,78.050003,75.18,77.790001,77.790001,1000800
7/06/2021,78,78.889999,76.25,77.050003,77.050003,1083000
14/06/2021,74.709999,74.709999,70.610001,73.589996,73.589996,1696600
21/06/2021,73.400002,74.25,72,72.379997,72.379997,1135800
28/06/2021,72.790001,73.900002,72.029999,73.459999,73.459999,1276200
5/07/2021,75.220001,75.519997,70.040001,72.690002,72.690002,1188100
12/07/2021,71.730003,72.690002,70.5,70.550003,70.550003,1402700
19/07/2021,69.360001,69.970001,67.550003,68.629997,68.629997,5792700
26/07/2021,68,68.919998,64.010002,64.25,64.25,2389600
2/08/2021,65.120003,65.489998,59.110001,59.119999,59.119999,3164100
9/08/2021,59.540001,59.84,56.720001,59.43,59.43,3364000
16/08/2021,59.220001,60.380001,57.830002,60.380001,60.380001,2903900
23/08/2021,60.02,60.900002,58.400002,58.950001,58.950001,2171700
30/08/2021,59.009998,62.779999,59.009998,61.900002,61.900002,2678400
